Species,salinity,organic.matter,rep,day.0,day.3,day.6,day.13,day.17,day.21,day.28
Uniola,0,0,1,0,0,0,0.6,0.8,0.8,0.8
Uniola,0,0,2,0,0,0.4,0.8,0.8,0.8,0.8
Uniola,0,0,3,0,0,0,0,0,0,0
Uniola,0,1,1,0,0,0,1,1,1,1
Uniola,0,1,2,0,0,0,0.8,1,1,1
Uniola,0,1,3,0,0,0,1,0,0,1
Uniola,0,2,1,0,0,0,0.8,0.8,0.8,0.8
Uniola,0,2,2,0,0,0,0.8,0.8,0.8,0.8
Uniola,0,2,3,0,0,0,0.6,0.6,0.6,0.6
Uniola,4,0,1,0,0,0.4,0.6,0.6,0.6,0.6
Uniola,4,0,2,0,0,0.2,0.2,0.4,0.4,0.4
Uniola,4,0,3,0,0,0.2,0.2,0.2,0.2,0.2
Uniola,4,1,1,0,0,0,0.2,0.2,0.2,0.2
Uniola,4,1,2,0,0.2,0.2,0.6,0.6,0.6,0.6
Uniola,4,1,3,0,0,0.2,0.2,0.2,0.2,0.2
Uniola,4,2,1,0,0,0.4,0.8,0.8,0.8,0.8
Uniola,4,2,2,0,0.2,0.2,0.8,0.8,0.8,0.8
Uniola,4,2,3,0,0,0,0.6,0.6,0.6,0.6
Uniola,8,0,1,0,0,0,0,0,0,0
Uniola,8,0,2,0,0.2,0.2,0.4,0.4,0.4,0.4
Uniola,8,0,3,0,0.2,0.2,0.4,0.4,0.4,0.4
Uniola,8,1,1,0,0,0.2,0.2,0.2,0.2,0.2
Uniola,8,1,2,0,0,0.2,0.6,0.6,0.6,0.6
Uniola,8,1,3,0,0,0,0.2,0.4,0.4,0.4
Uniola,8,2,1,0,0,0.2,0.4,0.4,0.4,0.4
Uniola,8,2,2,0,0,0,0.2,0.2,0.2,0.2
Uniola,8,2,3,0,0,0.2,0.6,0.6,0.6,0.6
Uniola,12,0,1,0,0,0,0.4,0.4,0.6,0.8
Uniola,12,0,2,0,0,0,0.2,0.2,0.2,0.2
Uniola,12,0,3,0,0,0,0,0,0,0
Uniola,12,1,1,0,0,0.4,0.6,0.6,0.6,0.6
Uniola,12,1,2,0,0,0,0.2,0.2,0.2,0.2
Uniola,12,1,3,0,0,0.2,0.2,0.2,0.2,0.2
Uniola,12,2,1,0,0,0.2,0.4,0.4,0.4,0.4
Uniola,12,2,2,0,0,0,0,0,0,0
Uniola,12,2,3,0,0,0,0,0,0,0
Iva,0,0,1,0,0,0.2,0.6,0.6,0.6,0.6
Iva,0,0,2,0,0,0,0.4,0.4,0.4,0.6
Iva,0,0,3,0,0,0,0.4,0.6,1,1
Iva,0,1,1,0,0,0,0.8,0.8,0.8,0.8
Iva,0,1,2,0,0,0,0.2,0.2,0.6,0.6
Iva,0,1,3,0,0,0,0.6,0.6,0.8,0.8
Iva,0,2,1,0,0,0,0.8,1,1,1
Iva,0,2,2,0,0,0,0.6,0.6,0.6,0.6
Iva,0,2,3,0,0,0,0.8,0.8,0.8,0.8
Iva,4,0,1,0,0,0.2,0.4,0.4,0.4,0.6
Iva,4,0,2,0,0,0,0,0.2,0.4,0.6
Iva,4,0,3,0,0,0,0,0,0,0.2
Iva,8,0,1,0,0,0,0.2,0.4,0.4,0.6
Iva,8,0,2,0,0,0,0,0.2,0.2,0.6
Iva,8,0,3,0,0,0,0.2,0.2,0.2,0.6
Iva,12,0,1,0,0,0,0,0,0,0
Iva,12,0,2,0,0,0,0,0,0,0
Iva,12,0,3,0,0,0,0,0,0,0
Iva,4,1,1,0,0,0,0.2,0.4,0.4,0.4
Iva,4,1,2,0,0,0,0.2,0.2,0.2,0.4
Iva,4,1,3,0,0,0,0.2,0.4,0.6,1
Iva,8,1,1,0,0,0,0.2,0.2,0.8,0.8
Iva,8,1,2,0,0,0,0,0,0.2,0.2
Iva,8,1,3,0,0,0,0,0,0,0
Iva,12,1,1,0,0,0,0,0,0.2,0.2
Iva,12,1,2,0,0,0,0,0,0,0.4
Iva,12,1,3,0,0,0,0,0,0,0.2
Iva,4,2,1,0,0,0,1,1,1,1
Iva,4,2,2,0,0,0,0.4,0.4,0.6,0.6
Iva,4,2,3,0,0,0,0,0.4,0.6,0.6
Iva,8,2,1,0,0,0,0,0,0,0.2
Iva,8,2,2,0,0,0,0.4,0.4,0.4,0.6
Iva,8,2,3,0,0,0,0.2,0.4,0.4,0.6
Iva,12,2,1,0,0,0,0,0,0,0
Iva,12,2,2,0,0,0.2,1,1,1,1
Iva,12,2,3,0,0,0,0,0.2,0.2,0.2
Ipomea,0,0,1,0,1,1,1,1,1,1
Ipomea,0,0,2,0,1,1,1,1,1,1
Ipomea,0,0,3,0,0.6,0.8,1,1,1,1
Ipomea,0,1,1,0,0.8,1,1,1,1,1
Ipomea,0,1,2,0,1,1,1,1,1,1
Ipomea,0,1,3,0,0.4,0.6,0.6,0.6,0.6,0.6
Ipomea,0,2,1,0,1,1,1,1,1,1
Ipomea,0,2,2,0,0.8,1,1,1,1,1
Ipomea,0,2,3,0,1,1,1,1,1,1
Ipomea,4,0,1,0,0.8,0.8,0.8,0.8,0.8,0.8
Ipomea,4,0,2,0,0.6,0.6,0.6,0.6,0.6,0.6
Ipomea,4,0,3,0,0,0,0,0,0,0
Ipomea,8,0,1,0,0.6,0.8,1,1,1,1
Ipomea,8,0,2,0,0.2,0.4,0.4,0.4,0.4,0.4
Ipomea,8,0,3,0,0.4,0.6,0.6,0.6,0.6,0.6
Ipomea,12,0,1,0,0,0,0.6,0.6,0.6,0.6
Ipomea,12,0,2,0,0.2,0.4,0.4,0.4,0.4,0.4
Ipomea,12,0,3,0,0,0.4,0.4,0.4,0.4,0.4
Ipomea,4,1,1,0,0.4,0.6,0.6,0.6,0.6,0.6
Ipomea,4,1,2,0,0.4,0.4,0.4,0.4,0.4,0.4
Ipomea,4,1,3,0,0.8,0.8,0.8,0.8,0.8,0.8
Ipomea,8,1,1,0,0.6,0.8,0.8,1,1,1
Ipomea,8,1,2,0,0.6,0.8,0.8,0.8,0.8,0.8
Ipomea,8,1,3,0,1,1,1,1,1,1
Ipomea,12,1,1,0,0.4,1,1,1,1,1
Ipomea,12,1,2,0,0,0,0,0,0,0
Ipomea,12,1,3,0,0.2,0.2,0.4,0.4,0.4,0.4
Ipomea,4,2,1,0,0.8,1,1,1,1,1
Ipomea,4,2,2,0,0.8,0.8,0.8,0.8,0.8,0.8
Ipomea,4,2,3,0,1,1,1,1,1,1
Ipomea,8,2,1,0,0.6,1,1,1,1,1
Ipomea,8,2,2,0,0.4,0.8,0.8,0.8,0.8,0.8
Ipomea,8,2,3,0,0.6,0.6,0.8,0.8,0.8,0.8
Ipomea,12,2,1,0,0,0.4,0.6,0.6,0.6,0.6
Ipomea,12,2,2,0,0,0.4,0.6,0.6,0.6,0.6
Ipomea,12,2,3,0,0.4,0.4,0.8,0.8,0.8,0.8