z,distance,dist.group,Sesuvium maritimum,Uniola paniculata,Cakile constricta,Iva imbricata,Ipomea imperati,Chameasyce maculata,laser.ht
1,0,1,0,20,10,10,0,0,3.62
1,3,1,0,0,0,5,0,0,3.63
1,6,1,0,0,0,0,0,0,3.66
1,9,1,0,0,0,0,0,0,3.75
1,12,2,60,0,0,0,0,0,3.66
1,15,2,0,0,0,0,0,0,3.68
1,18,2,0,0,0,10,0,0,3.89
1,21,3,0,5,0,15,0,0,3.82
1,24,3,0,0,0,5,0,0,3.74
1,27,3,0,0,0,0,0,0,3.78
1,30,4,0,0,5,5,0,0,3.62
1,33,4,0,0,0,0,0,0,3.41
1,36,4,0,0,0,0,0,0,3.41
1,39,4,0,20,10,0,10,0,3.38
1,42,5,0,50,5,0,0,0,3.01
1,45,5,0,65,0,0,0,0,2.77
1,48,5,0,20,10,5,0,0,3.1
1,51,6,0,0,5,0,0,0,3.11
1,54,6,0,0,0,0,0,0,3.21
1,57,6,0,0,2,0,0,0,3.21
1,60,7,0,0,0,0,0,0,3.34
1,63,7,0,0,0,0,0,0,3.47
1,66,7,0,0,0,0,0,0,3.53
1,69,7,0,0,0,0,0,0,3.54
1,72,8,0,0,0,0,0,0,3.56
1,75,8,0,5,0,0,0,5,3.52
1,78,8,0,20,0,0,0,5,3.36
1,81,9,0,5,10,0,0,0,3.22
1,84,9,0,0,10,0,0,0,3.1
2,0,1,0,0,5,2,0,0,3.69
2,3,1,0,0,0,0,0,0,3.57
2,6,1,0,0,0,0,0,0,3.61
2,9,1,0,0,0,0,0,0,3.68
2,12,2,0,0,0,0,0,0,3.75
2,15,2,0,0,0,0,0,0,3.78
2,18,2,0,0,0,0,0,0,3.8
2,21,3,0,0,0,60,0,0,3.65
2,24,3,0,0,0,80,0,0,3.2
2,27,3,0,0,5,0,0,0,3.6
2,30,4,0,40,8,0,0,0,3.36
2,33,4,0,70,0,0,0,0,3.3
2,36,4,30,5,0,5,0,0,3.56
2,39,4,0,0,0,0,0,0,3.52
2,42,5,0,0,5,0,0,0,3.64
2,45,5,0,0,0,0,5,0,3.56
2,48,5,0,5,30,0,0,0,3.25
2,51,6,0,0,40,0,0,0,3.09
2,54,6,0,0,60,0,0,0,3.24
2,57,6,0,0,0,0,20,0,3.29
2,60,7,0,0,0,0,5,0,3.4
2,63,7,0,0,5,0,10,0,3.35
2,66,7,0,0,0,0,5,0,3.2
2,69,7,0,0,0,0,10,0,2.99
2,72,8,0,25,0,0,5,0,2.79
2,75,8,0,10,0,0,5,0,2.25
3,0,1,0,0,0,5,0,0,3.65
3,3,1,0,0,0,15,0,0,3.63
3,6,1,0,0,0,0,0,0,3.72
3,9,1,0,0,0,5,0,0,3.67
3,12,2,0,0,0,0,0,0,3.74
3,15,2,0,0,0,0,0,0,3.77
3,18,2,0,0,0,0,0,0,3.78
3,21,3,0,0,0,0,0,0,3.8
3,24,3,0,0,0,1,0,0,3.73
3,27,3,10,5,0,5,0,0,3.53
3,30,4,0,0,40,0,0,0,3.29
3,33,4,0,0,25,0,0,0,3.19
3,36,4,0,0,0,15,0,0,3.43
3,39,4,0,0,0,0,0,0,3.62
3,42,5,0,0,0,0,5,0,3.62
3,45,5,0,0,0,0,8,0,3.5
3,48,5,0,0,0,0,5,0,3.36
3,51,6,10,0,2,0,0,0,3.3
3,54,6,0,0,0,0,5,0,3.34
3,57,6,0,0,5,0,5,0,3.28
3,60,7,0,0,0,0,20,0,3.09
3,63,7,0,10,5,0,10,0,2.58
3,66,7,0,20,15,0,5,0,2.51
4,0,1,0,0,15,25,0,0,3.59
4,3,1,0,0,0,5,0,0,3.66
4,6,1,0,0,0,0,0,0,3.69
4,9,1,0,0,0,0,0,0,3.75
4,12,2,0,0,0,0,0,0,3.75
4,15,2,0,0,30,0,0,0,3.6
4,18,2,0,0,0,0,0,0,3.72
4,21,3,0,30,40,0,0,0,3.77
4,24,3,0,0,0,0,0,0,3.89
4,27,3,0,0,5,0,0,0,3.82
4,30,4,0,0,5,0,0,0,3.63
4,33,4,0,0,0,0,0,0,3.38
4,36,4,0,0,0,0,0,0,3.43
4,39,4,0,0,0,0,0,0,3.62
4,42,5,0,0,0,0,0,0,3.56
4,45,5,0,0,0,0,2,0,3.24
4,48,5,0,0,0,0,2,0,3.12
4,51,6,0,0,0,0,5,0,3.38
4,54,6,0,0,0,0,10,0,3.45
4,57,6,0,0,0,0,10,0,3.46
4,60,7,0,0,0,0,5,0,3.47
4,63,7,0,0,60,0,0,0,3.28
4,66,7,0,40,10,0,0,0,2.95
4,69,7,0,5,0,0,5,0,2.75
5,0,1,0,0,0,0,0,0,3.53
5,3,1,0,0,0,5,0,0,3.56
5,6,1,0,0,0,0,0,0,3.55
5,9,1,0,35,0,10,0,0,3.3
5,12,2,0,0,0,0,0,0,3.5
5,15,2,0,0,0,0,0,0,3.59
5,18,2,0,0,0,0,0,0,3.75
5,21,3,0,0,0,20,0,0,3.9
5,24,3,0,0,15,0,0,0,3.89
5,27,3,0,0,0,0,0,0,3.84
5,30,4,0,0,0,25,0,0,3.68
5,33,4,0,0,0,0,0,0,3.46
5,36,4,0,0,0,5,0,0,3.44
5,39,4,0,5,0,2,0,0,3.28
5,42,5,0,0,0,10,0,0,3.16
5,45,5,0,0,0,0,0,0,3.14
5,48,5,0,5,0,60,0,0,2.68
5,51,6,0,0,0,15,0,0,2.94
5,54,6,0,0,0,10,0,0,3.05
5,57,6,0,0,0,0,0,0,3.52
5,60,7,0,0,0,0,0,0,3.54
5,63,7,0,30,0,0,0,0,2.89
5,66,7,0,0,0,5,5,0,3.61
5,69,7,0,10,0,5,10,0,2.52
5,72,8,0,0,0,0,5,0,3.23
5,75,8,0,0,0,0,10,0,3.08